platform,model,type,task_completion_rate,task_success_rate,total_execution_time,mean_execution_time,std_execution_time,mean_process_steps,std_process_steps,total_tasks,DB_UPDATE_TOOL_NOT_INITIALIZED,SUCCESS,DB_UPDATE_TOOL_ARGS_MISMATCH,DB_QUERY_TOOL_ARGS_MISMATCH,DB_QUERY_TOOL_NOT_INITIALIZED,OCR_TOOL_ARGS_MISMATCH,mean_ocr_bert_f1,std_ocr_bert_f1,OCR_TOOL_NOT_INITIALIZED,DB_UPDATE_TOOL_ERROR
RTX-A6000_r3,qwen2.5_3b,overall,1,0.1393939393939394,15993.659731,8.077605924747475,19.00694007558878,18.751010101010102,14.731147079567064,1980,1637.0,276,35.0,24.0,7.0,1.0,,,,
RTX-A6000_r3,qwen2.5_3b,vision,1,0.07171717171717172,6290.660505,6.35420253030303,19.937588404622815,13.01010101010101,8.770060003616644,990,881.0,71,30.0,7.0,,1.0,0.9943422419254226,0.03408171933175829,,
RTX-A6000_r3,qwen2.5_3b,non-vision,1,0.20707070707070707,9702.999226,9.80100931919192,17.872860647519417,24.49191919191919,17.06857149308327,990,756.0,205,5.0,17.0,7.0,,,,,
RTX-A6000_r3,qwen2.5_7b,overall,1,0.5727272727272728,19611.06044,9.90457597979798,10.236681208853303,20.687373737373736,21.975266131448123,1980,37.0,1134,3.0,21.0,415.0,,,,369.0,1.0
RTX-A6000_r3,qwen2.5_7b,vision,1,0.4212121212121212,9073.152421,9.164800425252526,11.40831953496788,18.47878787878788,22.14455346753454,990,30.0,417,2.0,21.0,151.0,,0.6238978344382662,0.4813044385660968,369.0,
RTX-A6000_r3,qwen2.5_7b,non-vision,1,0.7242424242424242,10537.908019,10.644351534343436,8.856627034515238,22.895959595959596,21.59088027524687,990,7.0,717,1.0,,264.0,,,,,1.0
RTX-A6000_r3,functionary-small,overall,1,0.07474747474747474,7956.671884,4.018521153535354,21.637443049200527,5.595959595959596,3.656054506044889,1980,305.0,148,3.0,12.0,1379.0,133.0,,,,
RTX-A6000_r3,functionary-small,vision,1,0.07878787878787878,4424.619463,4.469312588888889,8.492694381832678,6.076767676767677,4.194484034543715,990,197.0,78,1.0,8.0,573.0,133.0,0.8615817022444022,0.3398052569030513,,
RTX-A6000_r3,functionary-small,non-vision,1,0.0707070707070707,3532.052421,3.567729718181818,29.39895533788155,5.115151515151515,2.947959951201079,990,108.0,70,2.0,4.0,806.0,,,,,
RTX-A6000_r3,qwen2.5_14b,overall,1,0.9661616161616161,14455.940966,7.300980285858586,7.9593150287717815,8.62020202020202,2.2341906458349277,1980,19.0,1913,1.0,1.0,46.0,,,,,
RTX-A6000_r3,qwen2.5_14b,vision,1,0.9464646464646465,7753.201347,7.831516512121213,11.004876419086592,9.1010101010101,2.522276683123303,990,15.0,937,,,38.0,,0.9953849926139369,0.012648762226286274,,
RTX-A6000_r3,qwen2.5_14b,non-vision,1,0.9858585858585859,6702.739619,6.77044405959596,2.257129855780511,8.139393939393939,1.7786407246731308,990,4.0,976,1.0,1.0,8.0,,,,,
RTX-A6000_r3,qwen2.5_32b,overall,1,1.0,27469.971908,13.873723185858585,16.94539628534176,8.5,0.500126310473153,1980,,1980,,,,,,,,
RTX-A6000_r3,qwen2.5_32b,vision,1,1.0,14176.629455999999,14.319827733333332,23.921563977364023,9.0,0.0,990,,990,,,,,0.9953849926139369,0.012648762226286274,,
RTX-A6000_r3,qwen2.5_32b,non-vision,1,1.0,13293.342452,13.427618638383839,1.394132930849251,8.0,0.0,990,,990,,,,,,,,
RTX-A6000_r3,functionary-medium,overall,1,0.5318181818181819,60963.81983200001,30.7898079959596,242.60300442096172,7.806565656565657,2.8397413078545455,1980,441.0,1053,5.0,27.0,454.0,,,,,
RTX-A6000_r3,functionary-medium,vision,1,0.397979797979798,28624.608385000007,28.91374584343435,195.09250481003824,7.55050505050505,3.1183229573286635,990,310.0,394,4.0,15.0,267.0,,0.9953849926139369,0.012648762226286274,,
RTX-A6000_r3,functionary-medium,non-vision,1,0.6656565656565656,32339.211447,32.66587014848485,282.3186401500066,8.062626262626262,2.506234324055713,990,131.0,659,1.0,12.0,187.0,,,,,
RTX-A6000_r3,qwen2.5_72b,overall,1,0.951010101010101,77727.089742,39.25610593030303,24.81218558757275,8.735858585858585,4.228136345751375,1980,12.0,1883,,,85.0,,,,,
RTX-A6000_r3,qwen2.5_72b,vision,1,0.9595959595959596,32091.613704000003,32.41577141818182,16.0798979766605,9.715151515151515,5.5538245712593675,990,12.0,950,,,28.0,,0.9953849926139369,0.012648762226286274,,
RTX-A6000_r3,qwen2.5_72b,non-vision,1,0.9424242424242424,45635.47603800001,46.09644044242425,29.65929039321062,7.756565656565656,1.7341896885481871,990,,933,,,57.0,,,,,
